code_cluster,code_insee_centre_zone_emploi,latitude_centre,longitude_centre,ville_principale
252,76351,49.65172173913044,0.35258260869565217,Le Havre
253,76255,49.964795698924725,1.5438709677419356,Eu
254,77305,48.31429245283019,2.7373207547169813,Montereau-Fault-Yonne
255,77131,48.81422222222222,3.191,Coulommiers
256,77288,48.570014084507044,2.8048028169014083,Melun
257,77284,48.96906862745098,2.9379705882352942,Meaux
258,77379,48.53025925925926,3.252456790123457,Provins
259,77108,48.79468115942029,2.7612318840579713,Chelles
260,91228,48.55019117647059,2.4453676470588235,Évry-Courcouronnes
261,93005,49.03006896551724,2.4590919540229885,Aulnay-sous-Bois
262,78517,48.611916666666666,1.844527777777778,Rambouillet
263,78586,48.96263636363636,1.8325289256198347,Sartrouville
264,78646,48.805786407766995,1.8522038834951455,Versailles
265,95127,49.09475,2.0158416666666668,Cergy
266,79049,46.711349999999996,-0.38485,Bressuire
267,79329,46.95942105263158,-0.026105263157894736,Thouars
268,86194,46.465717791411045,0.44506134969325156,Poitiers
269,80001,50.09453012048192,1.8309096385542167,Abbeville
270,80021,49.89048571428571,2.383476923076923,Amiens
271,83050,43.6145641025641,6.3860769230769225,Draguignan
272,83061,43.4726,6.731400000000001,Fréjus
273,83137,43.178,6.010606060606061,Toulon
274,83023,43.43463414634146,6.061170731707318,Brignoles
275,83115,43.25183333333334,6.552333333333333,Sainte-Maxime
276,84031,44.077379310344824,5.111034482758621,Carpentras
277,84087,44.1685,4.8600625,Orange
278,85092,46.48886868686869,-0.9472222222222223,Fontenay-le-Comte
279,85191,46.69113333333333,-1.4638444444444445,La Roche-sur-Yon
280,85194,46.52316666666667,-1.6203333333333334,Les Sables-d'Olonne
281,85146,46.83525,-1.0656458333333334,Montaigu-Vendée
282,86066,46.822939999999996,0.5575800000000001,Châtellerault
283,88160,48.235804878048775,6.213384146341464,Épinal
284,88196,48.024,6.721489795918368,Gérardmer
285,89387,48.19540196078431,3.280411764705882,Sens
286,91223,48.442515625,2.137828125,Étampes
287,91377,48.65032258064517,2.217967741935484,Massy
