Latitude,Longitude,department (name),department (code),communes (code),Nom,Mois,Pression station,Température (°C),Précipitations dans les 24 dernières heures,Rafales sur une période
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,1,101483.5736677116,25.46990595611288,4546.6,8.253761755485893
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,2,101515.90990990991,25.549009009009033,4027.8,9.201891891891892
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,3,101479.5869947276,25.835500878734646,3879.2,8.545957820738137
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,4,101423.28850855745,26.797066014669948,1963.5,7.999877750611247
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,5,101476.5932642487,27.65259067357515,1784.9,9.097927461139896
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,6,101494.91803278688,27.90644028103047,3455.6,9.69519906323185
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,7,101455.23002421307,28.018765133171936,4771.3,9.174213075060532
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,8,101359.78886756238,28.14664107485607,7470.6,7.920057581573897
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,9,101195.4016064257,27.99257028112452,6253.5,6.342570281124498
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,10,101199.49554896142,27.47250247279923,7931.0,6.560336300692383
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,11,101187.0294117647,26.893627450980418,8916.3,7.202254901960784
14.595333,-60.995667,Martinique,972,97213,LAMENTIN-AERO,12,101391.77215189874,26.124050632911416,5559.4,7.928876582278481
