GEO,TOUR_MEASURE,HOTEL_STA,FREQ,TIME_PERIOD,TERRTYPO,ACTIVITY,TOUR_RESID,UNIT_LOC_RANKING,OBS_STATUS,DECIMALS,UNIT_MULT,OBS_STATUS_FR,CONF_STATUS,OBS_VALUE_NIVEAU
2023-DEP-26,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,127.436627308
2023-DEP-28,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,67.582568344
2023-DEP-30,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,140.007368666
2023-DEP-34,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,317.402396005
2023-DEP-41,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,99.622468553
2023-DEP-42,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,59.303675363
2023-DEP-47,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,41.660217543
2023-DEP-53,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,30.461425557
2023-DEP-55,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,20.631303896
2023-DEP-57,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,147.069805719
2023-DEP-59,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,318.564342417
2023-DEP-49,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,1369.813836655
2023-DEP-46,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,497.66318718
2023-DEP-83,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,3805.799455921
2023-DEP-67,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,4424.746494291
2023-DEP-08,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,238.730854249
2023-DEP-17,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,2237.905335743
2023-DEP-58,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,344.251816183
2023-DEP-90,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,283.457933613
2023-DEP-65,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,2573.058055116
2023-DEP-60,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,1430.54711574
2023-DEP-60,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,131.516392335
2023-DEP-75,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,3638.193042072
2023-DEP-61,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,27.579907651
2023-DEP-27,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,45.335188053
2023-DEP-32,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,17.395999279
2023-DEP-50,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,92.546868145
2023-DEP-07,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,43.730603746
2023-DEP-70,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,11.022065491
2023-DEP-37,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,153.186018702
2023-DEP-49,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,124.51539752
2023-DEP-41,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,85.814051807
2023-DEP-01,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,84.105384168
2023-DEP-14,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,295.696568357
2023-DEP-72,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,68.054000971
2023-DEP-18,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,57.28890709
2023-DEP-47,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,37.178852285
2023-DEP-71,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,106.306986524
2023-DEP-30,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,107.724358242
2023-DEP-67,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,393.149125126
2023-DEP-63,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,154.699804247
2023-DEP-31,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,266.434953451
2023-DEP-53,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,27.703404702
2023-DEP-972,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,66.745984614
2023-DEP-42,NUI,_T,M,2024-10,_T,I551,_T,_T,A,2,3,D,F,58.002001822
